category,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2
Lebanon,0.788,1.488,0.0,,0.107,17.199,
Lesotho,0.0,3.134,0.0,,2.827,0.754,
Liberia,0.207,,0.0,,21.568,0.564,
Libya,1.589,,12.787,13.96,-0.25,32.641,
Liechtenstein,0.0,0.0,0.0,0.061,-0.015,0.097,0.0
Lithuania,0.682,0.449,0.218,2.659,-0.951,8.375,0.079
Luxembourg,0.369,0.193,0.0,1.17,0.136,5.249,0.012
Macao,0.0,,0.0,0.157,,0.901,
Madagascar,0.058,1.732,0.0,,25.752,2.686,
Malawi,0.31,0.103,0.0,,9.716,1.34,
Malaysia,13.136,88.601,2.808,87.563,59.35,96.717,
Maldives,0.0,,0.0,,0.0,2.062,
Mali,0.697,,0.0,,30.904,6.064,
Malta,0.0,0.0,0.0,0.781,-0.069,1.041,0.0
Marshall Islands,0.0,,0.0,,0.0,0.153,
Mauritania,0.0,,0.0,,0.275,4.413,
Mauritius,0.0,2.123,0.0,,-0.038,2.016,
Mexico,18.816,38.865,10.323,176.579,-25.758,238.041,
Micronesia (country),0.0,,0.0,,0.0,0.149,
Moldova,0.599,0.312,0.0,2.078,-3.551,2.973,
Mongolia,0.574,41.271,0.0,,6.78,5.025,
Montenegro,,1.22,0.0,,-2.332,1.108,
Montserrat,0.0,,0.0,,,0.022,
Morocco,5.11,25.059,0.0,1.752,-10.978,36.747,
Mozambique,1.162,0.031,0.452,1.986,29.515,4.392,
Myanmar,2.557,3.615,0.021,8.596,64.106,15.444,
Namibia,0.504,0.143,0.0,,6.962,3.527,
Nauru,0.0,,0.0,,0.0,0.057,
Nepal,3.435,5.12,0.0,,12.767,8.123,
Netherlands,0.0,16.799,1.108,54.382,-1.328,45.244,1.135
New Caledonia,0.026,2.616,0.0,0.0,,2.425,
New Zealand,0.408,3.39,0.85,6.222,19.36,18.643,0.606
Nicaragua,0.198,,0.0,,9.637,5.39,
Niger,0.036,0.312,0.071,0.068,8.977,2.111,
Nigeria,11.237,5.77,10.879,35.38,7.608,65.273,
Niue,0.0,,0.0,,0.0,0.008,
North Korea,2.5,55.673,0.0,,-4.142,2.591,
North Macedonia,,3.39,0.0,0.624,-0.281,3.435,
Norway,0.603,4.123,1.512,10.913,6.979,21.346,0.403
Oman,2.253,0.024,3.552,60.007,0.399,12.675,
Pakistan,15.971,54.056,0.427,59.314,6.157,70.899,
Palau,0.0,,0.0,,0.0,0.222,
Palestine,0.0,,0.0,,0.213,3.497,
Panama,0.318,1.897,0.0,4.424,4.128,7.378,
Papua New Guinea,0.0,,0.128,1.838,34.843,6.356,
Paraguay,0.296,0.003,0.0,,15.588,7.84,
Peru,5.527,1.947,0.127,19.435,6.028,28.827,
Philippines,10.335,83.182,0.118,5.873,27.133,55.071,
Poland,6.751,145.357,4.056,36.109,-31.194,91.436,5.574
Portugal,2.229,0.175,1.175,9.02,1.438,23.827,0.803
Qatar,1.537,0.004,2.166,99.691,0.013,12.314,
Romania,3.678,10.302,0.808,20.164,-14.659,32.429,0.859
Russia,23.224,427.636,60.216,897.26,400.788,390.757,16.832
Rwanda,0.222,0.022,0.0,0.101,1.882,1.194,
Saint Helena,0.0,,0.0,,,0.011,
Saint Kitts and Nevis,0.0,,0.0,,-0.056,0.233,
Saint Lucia,0.0,,0.0,,-0.097,0.511,
Saint Pierre and Miquelon,,,0.0,,,0.056,
Saint Vincent and the Grenadines,0.0,,0.0,,-0.067,0.237,
Samoa,0.0,,0.0,,-0.067,0.257,
Sao Tome and Principe,0.0,,0.0,,0.034,0.166,
Saudi Arabia,29.887,0.52,4.677,241.156,0.154,459.965,
Senegal,2.896,1.714,0.0,0.014,0.935,7.278,
Serbia,1.084,25.258,0.0,6.145,-14.052,9.871,
Seychelles,0.0,,0.0,,0.0,0.551,
Sierra Leone,0.0,,0.0,,6.819,1.232,
Singapore,0.0,1.447,0.0,19.905,0.074,27.901,
Sint Maarten (Dutch part),0.0,,0.0,,,0.693,
